clip_id,video_name,criterion,granularity,start,mid,end,coarse_clip_id,stratum,country,country_collapsed,ioc,icg,robotic,device,weight
35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__c_000000_000450,35ebdf31-e51a-41cb-b455-3afe865d89f1,C3,coarse,0,300.0,450,,"(0,0,1)",22,other,0,0,1,4,3.0
35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__f_000150_000300,35ebdf31-e51a-41cb-b455-3afe865d89f1,C3,fine,150,,300,35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__c_000000_000450,"(0,0,1)",22,other,0,0,1,4,3.0
35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__c_000900_001350,35ebdf31-e51a-41cb-b455-3afe865d89f1,C3,coarse,900,1200.0,1350,,"(0,0,1)",22,other,0,0,1,4,3.0
35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__f_001050_001200,35ebdf31-e51a-41cb-b455-3afe865d89f1,C3,fine,1050,,1200,35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__c_000900_001350,"(0,0,1)",22,other,0,0,1,4,3.0
35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__f_001650_001800,35ebdf31-e51a-41cb-b455-3afe865d89f1,C3,fine,1650,,1800,35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__c_001650_001950,"(0,0,1)",22,other,0,0,1,4,3.0
35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__c_001650_001950,35ebdf31-e51a-41cb-b455-3afe865d89f1,C3,coarse,1650,1800.0,1950,,"(0,0,1)",22,other,0,0,1,4,3.0
37419fbb-308e-4362-bcb4-e19b431179b2__C1__avg__c_000000_000300,37419fbb-308e-4362-bcb4-e19b431179b2,C1,coarse,0,150.0,300,,"(1,1,1)",22,other,0,0,0,-1,14.0
37419fbb-308e-4362-bcb4-e19b431179b2__C2__avg__c_000000_000450,37419fbb-308e-4362-bcb4-e19b431179b2,C2,coarse,0,300.0,450,,"(1,1,1)",22,other,0,0,0,-1,14.0
37419fbb-308e-4362-bcb4-e19b431179b2__C1__avg__f_000150_000300,37419fbb-308e-4362-bcb4-e19b431179b2,C1,fine,150,,300,37419fbb-308e-4362-bcb4-e19b431179b2__C1__avg__c_000000_000300,"(1,1,1)",22,other,0,0,0,-1,14.0
37419fbb-308e-4362-bcb4-e19b431179b2__C2__avg__f_000150_000300,37419fbb-308e-4362-bcb4-e19b431179b2,C2,fine,150,,300,37419fbb-308e-4362-bcb4-e19b431179b2__C2__avg__c_000000_000450,"(1,1,1)",22,other,0,0,0,-1,14.0
37419fbb-308e-4362-bcb4-e19b431179b2__C1__avg__f_000600_000750,37419fbb-308e-4362-bcb4-e19b431179b2,C1,fine,600,,750,37419fbb-308e-4362-bcb4-e19b431179b2__C1__avg__c_000600_000900,"(1,1,1)",22,other,0,0,0,-1,14.0
37419fbb-308e-4362-bcb4-e19b431179b2__C1__avg__c_000600_000900,37419fbb-308e-4362-bcb4-e19b431179b2,C1,coarse,600,750.0,900,,"(1,1,1)",22,other,0,0,0,-1,14.0
37419fbb-308e-4362-bcb4-e19b431179b2__C2__avg__c_000750_000900,37419fbb-308e-4362-bcb4-e19b431179b2,C2,coarse,750,900.0,900,,"(1,1,1)",22,other,0,0,0,-1,14.0
37419fbb-308e-4362-bcb4-e19b431179b2__C2__avg__f_000750_000900,37419fbb-308e-4362-bcb4-e19b431179b2,C2,fine,750,,900,37419fbb-308e-4362-bcb4-e19b431179b2__C2__avg__c_000750_000900,"(1,1,1)",22,other,0,0,0,-1,14.0
37419fbb-308e-4362-bcb4-e19b431179b2__C3__avg__c_002100_002400,37419fbb-308e-4362-bcb4-e19b431179b2,C3,coarse,2100,2250.0,2400,,"(1,1,1)",22,other,0,0,0,-1,14.0
