field,value,sample_30_n,sample_30_pct,pool_138_n,pool_138_pct,pool_168_n,pool_168_pct
stratum,"(0,0,1)",3,0.1,8,0.057971014492753624,10,0.05952380952380952
stratum,"(0,1,0)",7,0.23333333333333334,44,0.3188405797101449,48,0.2857142857142857
stratum,"(0,1,1)",4,0.13333333333333333,17,0.12318840579710146,24,0.14285714285714285
stratum,"(1,0,0)",3,0.1,6,0.043478260869565216,8,0.047619047619047616
stratum,"(1,0,1)",2,0.06666666666666667,2,0.014492753623188406,2,0.011904761904761904
stratum,"(1,1,0)",6,0.2,33,0.2391304347826087,43,0.25595238095238093
stratum,"(1,1,1)",5,0.16666666666666666,28,0.2028985507246377,33,0.19642857142857142
country_collapsed,0,7,0.23333333333333334,32,0.2318840579710145,42,0.25
country_collapsed,6,8,0.26666666666666666,36,0.2608695652173913,43,0.25595238095238093
country_collapsed,other,15,0.5,70,0.5072463768115942,83,0.49404761904761907
country,0,7,0.23333333333333334,32,0.2318840579710145,42,0.25
country,1,0,0.0,1,0.007246376811594203,4,0.023809523809523808
country,10,0,0.0,1,0.007246376811594203,1,0.005952380952380952
country,11,0,0.0,4,0.028985507246376812,4,0.023809523809523808
country,16,0,0.0,1,0.007246376811594203,1,0.005952380952380952
country,18,1,0.03333333333333333,4,0.028985507246376812,5,0.02976190476190476
country,19,0,0.0,1,0.007246376811594203,1,0.005952380952380952
country,2,2,0.06666666666666667,6,0.043478260869565216,6,0.03571428571428571
country,20,2,0.06666666666666667,5,0.036231884057971016,5,0.02976190476190476
country,21,4,0.13333333333333333,17,0.12318840579710146,22,0.13095238095238096
country,22,2,0.06666666666666667,8,0.057971014492753624,10,0.05952380952380952
country,23,1,0.03333333333333333,4,0.028985507246376812,5,0.02976190476190476
country,3,1,0.03333333333333333,11,0.07971014492753623,11,0.06547619047619048
country,4,0,0.0,2,0.014492753623188406,2,0.011904761904761904
country,5,2,0.06666666666666667,4,0.028985507246376812,5,0.02976190476190476
country,6,8,0.26666666666666666,36,0.2608695652173913,43,0.25595238095238093
country,9,0,0.0,1,0.007246376811594203,1,0.005952380952380952
ioc,0,26,0.8666666666666667,129,0.9347826086956522,157,0.9345238095238095
ioc,1,4,0.13333333333333333,9,0.06521739130434782,11,0.06547619047619048
icg,0,27,0.9,128,0.927536231884058,156,0.9285714285714286
icg,1,3,0.1,10,0.07246376811594203,12,0.07142857142857142
robotic,0,25,0.8333333333333334,126,0.9130434782608695,153,0.9107142857142857
robotic,1,5,0.16666666666666666,12,0.08695652173913043,15,0.08928571428571429
device,-1,9,0.3,45,0.32608695652173914,57,0.3392857142857143
device,0,4,0.13333333333333333,22,0.15942028985507245,24,0.14285714285714285
device,1,2,0.06666666666666667,4,0.028985507246376812,5,0.02976190476190476
device,2,7,0.23333333333333334,31,0.2246376811594203,37,0.22023809523809523
device,3,2,0.06666666666666667,6,0.043478260869565216,9,0.05357142857142857
device,4,5,0.16666666666666666,24,0.17391304347826086,30,0.17857142857142858
device,5,0,0.0,1,0.007246376811594203,1,0.005952380952380952
device,6,0,0.0,4,0.028985507246376812,4,0.023809523809523808
device,7,1,0.03333333333333333,1,0.007246376811594203,1,0.005952380952380952
