table,stratum,country_collapsed,n
stratum,"(0,0,1)",,3
stratum,"(0,1,0)",,7
stratum,"(0,1,1)",,4
stratum,"(1,0,0)",,3
stratum,"(1,0,1)",,2
stratum,"(1,1,0)",,6
stratum,"(1,1,1)",,5
stratum_x_country,"(0,0,1)",6,1
stratum_x_country,"(0,0,1)",other,2
stratum_x_country,"(0,1,0)",0,1
stratum_x_country,"(0,1,0)",6,1
stratum_x_country,"(0,1,0)",other,5
stratum_x_country,"(0,1,1)",0,1
stratum_x_country,"(0,1,1)",6,1
stratum_x_country,"(0,1,1)",other,2
stratum_x_country,"(1,0,0)",0,1
stratum_x_country,"(1,0,0)",6,1
stratum_x_country,"(1,0,0)",other,1
stratum_x_country,"(1,0,1)",0,1
stratum_x_country,"(1,0,1)",other,1
stratum_x_country,"(1,1,0)",0,1
stratum_x_country,"(1,1,0)",6,2
stratum_x_country,"(1,1,0)",other,3
stratum_x_country,"(1,1,1)",0,2
stratum_x_country,"(1,1,1)",6,2
stratum_x_country,"(1,1,1)",other,1
