clip_id,video_name,criterion,granularity,start,mid,end,coarse_clip_id,stratum,country,country_collapsed,ioc,icg,robotic,device,weight,selected_clip_seed,selected_clip_granularity_pool
35ebdf31-e51a-41cb-b455-3afe865d89f1__C3__avg__c_001650_001950,35ebdf31-e51a-41cb-b455-3afe865d89f1,C3,coarse,1650,1800.0,1950,,"(0,0,1)",22,other,0,0,1,4,3.0,20260617,coarse
37419fbb-308e-4362-bcb4-e19b431179b2__C1__avg__c_000000_000300,37419fbb-308e-4362-bcb4-e19b431179b2,C1,coarse,0,150.0,300,,"(1,1,1)",22,other,0,0,0,-1,14.0,20260617,coarse
52fa51d6-7b5e-44bf-a10c-39bf2022068f__C2__avg__c_001950_002400,52fa51d6-7b5e-44bf-a10c-39bf2022068f,C2,coarse,1950,2250.0,2400,,"(0,1,0)",21,other,0,0,0,2,4.0,20260617,coarse
5eb56c91-26a5-40fc-995d-2694c09b8643__C2__avg__c_002100_002250,5eb56c91-26a5-40fc-995d-2694c09b8643,C2,coarse,2100,2250.0,2250,,"(0,1,0)",21,other,0,0,0,2,4.0,20260617,coarse
65f40922-5a16-4929-af41-f9cadd75d5fb__C2__avg__c_000900_001500,65f40922-5a16-4929-af41-f9cadd75d5fb,C2,coarse,900,1200.0,1500,,"(1,1,0)",3,other,0,0,0,0,5.333333333333333,20260617,coarse
660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C1__avg__c_001800_002250,660a6a01-b2ad-40e1-a709-79c57b1c8fa7,C1,coarse,1800,2100.0,2250,,"(1,0,1)",0,0,0,0,0,-1,1.0,20260617,coarse
77ff5131-4a49-4b71-95a6-d8ce57186696__C3__avg__c_001200_001650,77ff5131-4a49-4b71-95a6-d8ce57186696,C3,coarse,1200,1500.0,1650,,"(0,1,1)",6,6,0,0,0,4,4.0,20260617,coarse
8504ff91-785b-4f35-9998-4edd607d48e3__C1__avg__c_000150_000450,8504ff91-785b-4f35-9998-4edd607d48e3,C1,coarse,150,300.0,450,,"(1,0,0)",2,other,0,1,0,2,4.0,20260617,coarse
850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C2__avg__c_001050_001500,850e2e68-46a9-4b66-b6f7-3c6de72af7e6,C2,coarse,1050,1350.0,1500,,"(1,1,1)",0,0,0,0,0,-1,2.0,20260617,coarse
898c9065-6499-40fa-9142-152ebd5d7227__C2__avg__c_000600_001050,898c9065-6499-40fa-9142-152ebd5d7227,C2,coarse,600,900.0,1050,,"(0,1,0)",5,other,1,0,0,1,4.0,20260617,coarse
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__c_000150_000600,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C3,coarse,150,450.0,600,,"(1,1,1)",0,0,0,0,0,-1,2.0,20260617,coarse
917a55f6-0776-45a4-88e3-14aef4661231__C2__avg__c_000150_000450,917a55f6-0776-45a4-88e3-14aef4661231,C2,coarse,150,300.0,450,,"(1,1,1)",6,6,0,0,0,4,5.0,20260617,coarse
92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__c_001650_002250,92063d81-cefd-4d83-be16-b759f82f819d,C2,coarse,1650,1950.0,2250,,"(1,1,0)",0,0,0,0,0,-1,10.0,20260617,coarse
9d12c943-402f-4677-8bf4-46cdae46e990__C2__avg__c_000750_001200,9d12c943-402f-4677-8bf4-46cdae46e990,C2,coarse,750,1050.0,1200,,"(1,1,0)",20,other,0,0,1,7,5.333333333333333,20260617,coarse
be61a76a-ccd0-47d6-9aee-bec7b4c48426__C2__avg__c_001500_001800,be61a76a-ccd0-47d6-9aee-bec7b4c48426,C2,coarse,1500,1650.0,1800,,"(0,1,0)",6,6,0,0,0,4,12.0,20260617,coarse
c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C1__avg__c_001650_001950,c194d9a6-e8a8-4f1a-9745-ae9d022804ee,C1,coarse,1650,1800.0,1950,,"(1,1,0)",6,6,0,0,0,4,3.5,20260617,coarse
c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__c_002100_002250,c8063d76-af4f-44da-afc6-12bcf8947595,C2,coarse,2100,2250.0,2250,,"(1,1,0)",21,other,0,0,0,2,5.333333333333333,20260617,coarse
d0465797-0527-4148-ad6f-0aa537d03068__C1__avg__c_001650_002100,d0465797-0527-4148-ad6f-0aa537d03068,C1,coarse,1650,1950.0,2100,,"(1,0,0)",6,6,1,0,0,-1,1.0,20260617,coarse
db46924b-a5a3-4645-9868-0860f2c4618f__C3__avg__c_001050_001500,db46924b-a5a3-4645-9868-0860f2c4618f,C3,coarse,1050,1350.0,1500,,"(0,0,1)",2,other,0,1,0,2,3.0,20260617,coarse
db82e0f9-e6a8-42d7-a890-91293264caba__C2__avg__c_001350_001800,db82e0f9-e6a8-42d7-a890-91293264caba,C2,coarse,1350,1650.0,1800,,"(1,1,0)",6,6,0,0,0,0,3.5,20260617,coarse
e52b7faf-d644-4f8e-8de2-862b1377a05b__C2__avg__c_001800_002100,e52b7faf-d644-4f8e-8de2-862b1377a05b,C2,coarse,1800,1950.0,2100,,"(0,1,0)",5,other,1,0,0,1,4.0,20260617,coarse
f1c2ac2c-b2e5-42b8-90b4-6be479a16e64__C2__avg__c_001050_001350,f1c2ac2c-b2e5-42b8-90b4-6be479a16e64,C2,coarse,1050,1200.0,1350,,"(0,1,0)",18,other,0,0,0,-1,4.0,20260617,coarse
f53b95da-6f06-4d00-a986-e7a3d8525666__C3__avg__c_000450_001050,f53b95da-6f06-4d00-a986-e7a3d8525666,C3,coarse,450,750.0,1050,,"(0,1,1)",21,other,0,0,0,2,4.5,20260617,coarse
f6034371-097d-4728-8e3a-4e6f1b08aba7__C2__avg__c_001950_002250,f6034371-097d-4728-8e3a-4e6f1b08aba7,C2,coarse,1950,2100.0,2250,,"(1,1,1)",6,6,0,0,0,0,5.0,20260617,coarse
f61fef34-e9a2-4cd6-a75d-d57e8a8c0b05__C2__avg__c_000000_000450,f61fef34-e9a2-4cd6-a75d-d57e8a8c0b05,C2,coarse,0,300.0,450,,"(0,1,0)",0,0,0,0,1,3,12.0,20260617,coarse
f68bc1bd-da70-4b1b-b849-c954e644c209__C3__avg__c_002100_002250,f68bc1bd-da70-4b1b-b849-c954e644c209,C3,coarse,2100,2250.0,2250,,"(1,0,1)",20,other,0,0,0,2,1.0,20260617,coarse
f91a3164-e804-4646-bb46-1978c5bf22f1__C3__avg__c_001500_001800,f91a3164-e804-4646-bb46-1978c5bf22f1,C3,coarse,1500,1650.0,1800,,"(0,0,1)",6,6,1,0,0,-1,2.0,20260617,coarse
fa086544-745e-49b3-8bcc-9f0b210a8eba__C3__avg__c_000750_001050,fa086544-745e-49b3-8bcc-9f0b210a8eba,C3,coarse,750,900.0,1050,,"(0,1,1)",0,0,0,1,1,3,4.0,20260617,coarse
fae51550-4492-4c92-9454-cd754ec749f8__C1__avg__c_001950_002250,fae51550-4492-4c92-9454-cd754ec749f8,C1,coarse,1950,2100.0,2250,,"(1,0,0)",0,0,0,0,0,0,1.0,20260617,coarse
nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga__C3__avg__c_001650_002100,nqwazqo2-5oxt-0uz4-ekws-fe0lwc1iu7ga,C3,coarse,1650,1950.0,2100,,"(0,1,1)",23,other,0,0,1,-1,4.5,20260617,coarse
