method_id,method_label,actor,actor_label,granularity,granularity_label,n_artifact_points,pearson_r,spearman_r
description,Description,left,Left,coarse,Coarse,6,0.8474784871560082,0.8116794499134279
hint,Hint,left,Left,coarse,Coarse,6,0.974655634040216,0.6377481392176932
structured_deterministic,Structured deterministic,left,Left,coarse,Coarse,6,0.9229997175056788,0.753702346348183
structured_llm_extract,Structured LLM extract,left,Left,coarse,Coarse,6,0.9426575947639247,0.5507824838698261
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,left,Left,coarse,Coarse,6,0.9426575947639247,0.5507824838698261
description,Description,left,Left,medium,Medium,6,0.71449372829742,0.40583972495671394
hint,Hint,left,Left,medium,Medium,6,0.9623654292133599,0.46381682852195877
structured_deterministic,Structured deterministic,left,Left,medium,Medium,6,0.9876714108256268,0.3478626213914691
structured_llm_extract,Structured LLM extract,left,Left,medium,Medium,6,0.9848280221202539,0.6667366910003157
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,left,Left,medium,Medium,6,0.9848280221202539,0.6667366910003157
description,Description,left,Left,exact,Fine / exact,6,0.7509843514869592,0.23190841426097938
hint,Hint,left,Left,exact,Fine / exact,6,0.9848279693734855,0.8116794499134279
structured_deterministic,Structured deterministic,left,Left,exact,Fine / exact,6,0.9875365989058377,0.753702346348183
structured_llm_extract,Structured LLM extract,left,Left,exact,Fine / exact,6,0.982000288539327,0.5507824838698261
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,left,Left,exact,Fine / exact,6,0.982000288539327,0.5507824838698261
description,Description,right,Right,coarse,Coarse,6,0.045413674542640094,-0.17393131069573456
hint,Hint,right,Right,coarse,Coarse,6,0.8796804965355333,0.23190841426097938
structured_deterministic,Structured deterministic,right,Right,coarse,Coarse,6,0.9930494537135885,0.6377481392176932
structured_llm_extract,Structured LLM extract,right,Right,coarse,Coarse,6,0.8372029291450037,-0.028988551782622423
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,right,Right,coarse,Coarse,6,0.8372029291450037,-0.028988551782622423
description,Description,right,Right,medium,Medium,6,0.08530140836650471,-0.08571428571428573
hint,Hint,right,Right,medium,Medium,6,0.8596414481406697,0.2571428571428572
structured_deterministic,Structured deterministic,right,Right,medium,Medium,6,0.9693078851245258,0.8285714285714287
structured_llm_extract,Structured LLM extract,right,Right,medium,Medium,6,0.6338797647485035,0.2
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,right,Right,medium,Medium,6,0.6338797647485035,0.2
description,Description,right,Right,exact,Fine / exact,6,0.6351970805925464,0.7142857142857143
hint,Hint,right,Right,exact,Fine / exact,6,0.8515449291053991,0.942857142857143
structured_deterministic,Structured deterministic,right,Right,exact,Fine / exact,6,0.47824950329955807,0.8857142857142858
structured_llm_extract,Structured LLM extract,right,Right,exact,Fine / exact,6,0.3790502153759455,-0.028571428571428574
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,right,Right,exact,Fine / exact,6,0.3790502153759455,-0.028571428571428574
description,Description,camera,Camera,coarse,Coarse,6,-0.573742662324151,-0.40583972495671394
hint,Hint,camera,Camera,coarse,Coarse,6,-0.26182152005925646,-0.2898855178262242
structured_deterministic,Structured deterministic,camera,Camera,coarse,Coarse,6,0.9851436902155526,0.40583972495671394
structured_llm_extract,Structured LLM extract,camera,Camera,coarse,Coarse,6,0.9893800646986098,0.7826908981308054
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,camera,Camera,coarse,Coarse,6,0.9893800646986098,0.7826908981308054
description,Description,camera,Camera,medium,Medium,6,-0.022205224841016603,0.23190841426097938
hint,Hint,camera,Camera,medium,Medium,6,-0.5399412060157892,-0.5797710356524484
structured_deterministic,Structured deterministic,camera,Camera,medium,Medium,6,0.5751373109439447,0.057977103565244846
structured_llm_extract,Structured LLM extract,camera,Camera,medium,Medium,6,0.8956677266498891,0.3188740696088466
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,camera,Camera,medium,Medium,6,0.8956677266498891,0.3188740696088466
description,Description,camera,Camera,exact,Fine / exact,6,0.6358309946055871,0.8116794499134279
hint,Hint,camera,Camera,exact,Fine / exact,6,-0.04144258634505051,-0.40583972495671394
structured_deterministic,Structured deterministic,camera,Camera,exact,Fine / exact,6,0.23543267307053362,-0.46381682852195877
structured_llm_extract,Structured LLM extract,camera,Camera,exact,Fine / exact,6,0.9284592417909372,0.3188740696088466
structured_llm_extract_tool_fix,Structured LLM extract + tool fix,camera,Camera,exact,Fine / exact,6,0.9284592417909372,0.3188740696088466
