method_id,method,method_label,artifact_id,artifact_label,actor,actor_label,granularity,granularity_label,overall_spec_f1,cell_f1_mean_over_iou
description,description_only,Description,base,Base,left,Left,coarse,Coarse,0.1651531298936272,0.01149425287356322
description,description_only,Description,base,Base,left,Left,medium,Medium,0.1651531298936272,0.02681992337164751
description,description_only,Description,base,Base,left,Left,exact,Fine / exact,0.1651531298936272,0.01149425287356322
description,description_only,Description,base,Base,right,Right,coarse,Coarse,0.1651531298936272,0.2827658221780605
description,description_only,Description,base,Base,right,Right,medium,Medium,0.1651531298936272,0.23069841085138987
description,description_only,Description,base,Base,right,Right,exact,Fine / exact,0.1651531298936272,0.012566137566137565
description,description_only,Description,base,Base,camera,Camera,coarse,Coarse,0.1651531298936272,0.04712107065048241
description,description_only,Description,base,Base,camera,Camera,medium,Medium,0.1651531298936272,0.022222222222222223
description,description_only,Description,base,Base,camera,Camera,exact,Fine / exact,0.1651531298936272,0.00634920634920635
hint,hint_questions,Hint,base,Base,left,Left,coarse,Coarse,0.1562557985724189,0.13946360153256707
hint,hint_questions,Hint,base,Base,left,Left,medium,Medium,0.1562557985724189,0.0896551724137931
hint,hint_questions,Hint,base,Base,left,Left,exact,Fine / exact,0.1562557985724189,0.07241379310344827
hint,hint_questions,Hint,base,Base,right,Right,coarse,Coarse,0.1562557985724189,0.14518007479337702
hint,hint_questions,Hint,base,Base,right,Right,medium,Medium,0.1562557985724189,0.1221348073036651
hint,hint_questions,Hint,base,Base,right,Right,exact,Fine / exact,0.1562557985724189,0.011152609191824878
hint,hint_questions,Hint,base,Base,camera,Camera,coarse,Coarse,0.1562557985724189,0.20449257608535112
hint,hint_questions,Hint,base,Base,camera,Camera,medium,Medium,0.1562557985724189,0.17242074352090775
hint,hint_questions,Hint,base,Base,camera,Camera,exact,Fine / exact,0.1562557985724189,0.10564460777925473
structured_deterministic,structured_prediction_deterministic,Structured deterministic,base,Base,left,Left,coarse,Coarse,0.1577548325683187,0.4736434064020271
structured_deterministic,structured_prediction_deterministic,Structured deterministic,base,Base,left,Left,medium,Medium,0.1577548325683187,0.33329008156594364
